name,icon,start,end,origin,authority,sourceurl
Maria ZACHAROVA,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
Margarita SIMONJAN,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
Marat CHUSNULLIN,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
Vladimir Lvovich KASATONOV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
Виктор Алексеевич ОЗЕРОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Павел Валентинович ШПЕРОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Доку Хаматович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2015-01-17,,eu,European External Action Service,[Quelle](http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2015:011:FULL&from=EN)
Viktor Petrovich VODOLATSKY,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-09-12,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.298.01.0001.01.ENG&toc=OJ:L:2020:298:TOC)
Михаил Николаевич Белоусов,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-10-11,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.LI.2021.359.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A359I%3ATOC)
Anatoliy Vladimirovich CHEPIGA,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2019-01-21,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R0084&from=EN)
Игорь Владимирович ЛЕБЕДЕВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Mercury LLC,,2021-12-13,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.LI.2021.445.01.0007.01.ENG&toc=OJ%3AL%3A2021%3A445I%3ATOC)
Тотоонов Александр Борисович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Elena Valerievna KRAVCHENKO,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Malik Ruslanovich,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2017-07-27,,eu,European External Action Service,[Quelle](http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32017R1390&from=EN)
Andrey Vladimirovich CHEREZOV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-09-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.321.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A321%3ATOC)
Мирослав Александрович ПОГОРЕЛОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-09-12,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.298.01.0001.01.ENG&toc=OJ:L:2020:298:TOC)
Марат Фаатович БАШИРОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Владимир АНТЮФЕЕВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-09-12,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.298.01.0001.01.ENG&toc=OJ:L:2020:298:TOC)
Alexander Yevgeniyevich MISHKIN,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2019-01-21,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R0084&from=EN)
VEB,,2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
OOO Велада,,2021-12-13,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.LI.2021.445.01.0007.01.ENG&toc=OJ%3AL%3A2021%3A445I%3ATOC)
Валерий Васильевич ГЕРАСИМОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Mikhail Vladimirovich RAZVOZHAEV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-03-16,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.087.01.0019.01.ENG&toc=OJ%3AL%3A2021%3A087%3ATOC)
Ayrat Nasimovich,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2016-08-09,,eu,European External Action Service,[Quelle](http://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32016R1347&from=EN)
Риженькін Леонід Кронідович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-10-01,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.318.01.0001.01.ENG&toc=OJ:L:2020:318:TOC)
Viktor Fedorovich Yanukovich,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2019-03-05,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R0352&from=EN)
Andrei Nikolaevich MUKAVOZCHYK,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-06-21,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32021R0997&from=EN)
Сергей Анатольевич ТОПОР-ГИЛКА,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-09-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.321.01.0001.01.ENG&toc=OJ%3AL%3A2021%3A321%3ATOC)
Андрей Николаевич ТРОШЕВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-12-13,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.LI.2021.445.01.0007.01.ENG&toc=OJ%3AL%3A2021%3A445I%3ATOC)
Igor Venediktovich Plotnitsky,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Aleksandr Vasilievich BORTNIKOV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Yevgeniy Eduardovich MIKHAYLOV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Denis Yurievich KHARITONOV,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-12-13,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32021R2193&from=EN)
Алексей Юрьевич МИЛЬЧАКОВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-03-14,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32020R0398&from=EN)
Agenzia per la ricerca su internet,,2022-02-23,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=OJ:L:2022:042I:FULL&from=EN)
Константин Михайлович БАХАРЕВ,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-09-12,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.298.01.0001.01.ENG&toc=OJ:L:2020:298:TOC)
Dmitry Nikolayevich KOZAK,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2021-03-16,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv%3AOJ.L_.2021.087.01.0019.01.ENG&toc=OJ%3AL%3A2021%3A087%3ATOC)
Viktor Ivanovich RATUSHNIAK,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2019-03-05,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32019R0352&from=EN)
Серебряков Евгений Михайлович,![Person](https://banner2.cleanpng.com/20180426/gkw/kisspng-user-computer-icons-download-person-icon-5ae1dbfbb675d7.5784016215247513557474.jpg),2020-07-30,,eu,European External Action Service,[Quelle](https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.246.01.0004.01.ENG&toc=OJ:L:2020:246:TOC)
